Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
01/01/2018 01:00,1,164.4,164,ug/m3,215,Very Unhealthy,Valid
01/01/2018 02:00,2,180.2,196,ug/m3,230,Very Unhealthy,Valid
01/01/2018 03:00,3,172.6,165,ug/m3,223,Very Unhealthy,Valid
01/01/2018 04:00,4,156.8,141,ug/m3,207,Very Unhealthy,Valid
01/01/2018 05:00,5,152.9,147,ug/m3,203,Very Unhealthy,Valid
01/01/2018 06:00,6,158.8,165,ug/m3,209,Very Unhealthy,Valid
01/01/2018 07:00,7,174.7,197,ug/m3,225,Very Unhealthy,Valid
01/01/2018 08:00,8,188.1,207,ug/m3,238,Very Unhealthy,Valid
01/01/2018 09:00,9,191.4,196,ug/m3,242,Very Unhealthy,Valid
01/01/2018 10:00,10,171.9,140,ug/m3,222,Very Unhealthy,Valid
01/01/2018 11:00,11,145,115,ug/m3,197,Unhealthy,Valid
01/01/2018 12:00,12,100.5,60,ug/m3,174,Unhealthy,Valid
01/01/2018 13:00,13,82.7,65,ug/m3,165,Unhealthy,Valid
01/01/2018 14:00,14,72.8,63,ug/m3,160,Unhealthy,Valid
01/01/2018 15:00,15,80.9,89,ug/m3,164,Unhealthy,Valid
01/01/2018 16:00,16,98.9,117,ug/m3,173,Unhealthy,Valid
01/01/2018 17:00,17,108.9,119,ug/m3,179,Unhealthy,Valid
01/01/2018 18:00,18,124.4,140,ug/m3,187,Unhealthy,Valid
01/01/2018 19:00,19,142.7,161,ug/m3,196,Unhealthy,Valid
01/01/2018 20:00,20,163.3,184,ug/m3,214,Very Unhealthy,Valid
01/01/2018 21:00,21,174.1,185,ug/m3,224,Very Unhealthy,Valid
01/01/2018 22:00,22,201.6,229,ug/m3,252,Very Unhealthy,Valid
01/01/2018 23:00,23,205.3,209,ug/m3,255,Very Unhealthy,Valid
02/01/2018 00:00,0,219.1,233,ug/m3,269,Very Unhealthy,Valid
02/01/2018 01:00,1,208.6,198,ug/m3,259,Very Unhealthy,Valid
02/01/2018 02:00,2,205.8,203,ug/m3,256,Very Unhealthy,Valid
02/01/2018 03:00,3,206.4,207,ug/m3,256,Very Unhealthy,Valid
02/01/2018 04:00,4,189.1,171,ug/m3,239,Very Unhealthy,Valid
02/01/2018 05:00,5,188.1,182,ug/m3,238,Very Unhealthy,Valid
02/01/2018 06:00,6,185.4,173,ug/m3,236,Very Unhealthy,Valid
02/01/2018 07:00,7,182.9,171,ug/m3,233,Very Unhealthy,Valid
02/01/2018 08:00,8,182.4,181,ug/m3,233,Very Unhealthy,Valid
02/01/2018 09:00,9,179.2,171,ug/m3,229,Very Unhealthy,Valid
02/01/2018 10:00,10,178.3,177,ug/m3,229,Very Unhealthy,Valid
02/01/2018 11:00,11,168.5,153,ug/m3,219,Very Unhealthy,Valid
02/01/2018 12:00,12,153.5,130,ug/m3,204,Very Unhealthy,Valid
02/01/2018 13:00,13,143.3,128,ug/m3,196,Unhealthy,Valid
02/01/2018 14:00,14,136.1,126,ug/m3,193,Unhealthy,Valid
02/01/2018 15:00,15,134.1,123,ug/m3,192,Unhealthy,Valid
02/01/2018 16:00,16,125,114,ug/m3,187,Unhealthy,Valid
02/01/2018 17:00,17,125.7,127,ug/m3,187,Unhealthy,Valid
02/01/2018 18:00,18,135,151,ug/m3,192,Unhealthy,Valid
02/01/2018 19:00,19,159,193,ug/m3,209,Very Unhealthy,Valid
02/01/2018 20:00,20,179.4,203,ug/m3,230,Very Unhealthy,Valid
02/01/2018 21:00,21,189.3,202,ug/m3,239,Very Unhealthy,Valid
02/01/2018 22:00,22,185.2,180,ug/m3,235,Very Unhealthy,Valid
02/01/2018 23:00,23,174.1,160,ug/m3,224,Very Unhealthy,Valid
03/01/2018 00:00,0,169.2,163,ug/m3,220,Very Unhealthy,Valid
03/01/2018 01:00,1,163.9,157,ug/m3,214,Very Unhealthy,Valid
03/01/2018 02:00,2,162.6,161,ug/m3,213,Very Unhealthy,Valid
03/01/2018 03:00,3,165.8,170,ug/m3,216,Very Unhealthy,Valid
03/01/2018 04:00,4,168.4,172,ug/m3,219,Very Unhealthy,Valid
03/01/2018 05:00,5,169.6,171,ug/m3,220,Very Unhealthy,Valid
03/01/2018 06:00,6,172.4,180,ug/m3,223,Very Unhealthy,Valid
03/01/2018 07:00,7,175.6,187,ug/m3,226,Very Unhealthy,Valid
03/01/2018 08:00,8,176.3,180,ug/m3,227,Very Unhealthy,Valid
03/01/2018 09:00,9,172.9,166,ug/m3,223,Very Unhealthy,Valid
03/01/2018 10:00,10,168.8,152,ug/m3,219,Very Unhealthy,Valid
03/01/2018 11:00,11,167.1,160,ug/m3,217,Very Unhealthy,Valid
03/01/2018 12:00,12,149.4,122,ug/m3,199,Unhealthy,Valid
03/01/2018 13:00,13,133.4,113,ug/m3,191,Unhealthy,Valid
03/01/2018 14:00,14,113.2,97,ug/m3,181,Unhealthy,Valid
03/01/2018 15:00,15,97.5,83,ug/m3,173,Unhealthy,Valid
03/01/2018 16:00,16,96.7,96,ug/m3,172,Unhealthy,Valid
03/01/2018 17:00,17,110.3,124,ug/m3,179,Unhealthy,Valid
03/01/2018 18:00,18,123.1,136,ug/m3,186,Unhealthy,Valid
03/01/2018 19:00,19,130,137,ug/m3,189,Unhealthy,Valid
03/01/2018 20:00,20,127,124,ug/m3,188,Unhealthy,Valid
03/01/2018 21:00,21,130.2,134,ug/m3,190,Unhealthy,Valid
03/01/2018 22:00,22,143.6,158,ug/m3,196,Unhealthy,Valid
03/01/2018 23:00,23,154.5,165,ug/m3,205,Very Unhealthy,Valid
04/01/2018 00:00,0,160.3,166,ug/m3,211,Very Unhealthy,Valid
04/01/2018 01:00,1,171.1,182,ug/m3,221,Very Unhealthy,Valid
04/01/2018 02:00,2,171.5,172,ug/m3,222,Very Unhealthy,Valid
04/01/2018 03:00,3,167.2,163,ug/m3,218,Very Unhealthy,Valid
04/01/2018 04:00,4,169.7,179,ug/m3,220,Very Unhealthy,Valid
04/01/2018 05:00,5,168.9,167,ug/m3,219,Very Unhealthy,Valid
04/01/2018 06:00,6,167.4,164,ug/m3,218,Very Unhealthy,Valid
04/01/2018 07:00,7,170,175,ug/m3,220,Very Unhealthy,Valid
04/01/2018 08:00,8,180.1,200,ug/m3,230,Very Unhealthy,Valid
04/01/2018 09:00,9,182.8,202,ug/m3,233,Very Unhealthy,Valid
04/01/2018 10:00,10,198.6,229,ug/m3,249,Very Unhealthy,Valid
04/01/2018 11:00,11,199.4,201,ug/m3,249,Very Unhealthy,Valid
04/01/2018 12:00,12,196.2,188,ug/m3,246,Very Unhealthy,Valid
04/01/2018 13:00,13,186.2,162,ug/m3,236,Very Unhealthy,Valid
04/01/2018 14:00,14,163.9,136,ug/m3,214,Very Unhealthy,Valid
04/01/2018 15:00,15,160.7,156,ug/m3,211,Very Unhealthy,Valid
04/01/2018 16:00,16,153.9,144,ug/m3,204,Very Unhealthy,Valid
04/01/2018 17:00,17,153.1,152,ug/m3,204,Very Unhealthy,Valid
04/01/2018 18:00,18,163.6,179,ug/m3,214,Very Unhealthy,Valid
04/01/2018 19:00,19,178.4,200,ug/m3,229,Very Unhealthy,Valid
04/01/2018 20:00,20,190.4,208,ug/m3,241,Very Unhealthy,Valid
04/01/2018 21:00,21,198.7,211,ug/m3,249,Very Unhealthy,Valid
04/01/2018 22:00,22,204.4,217,ug/m3,254,Very Unhealthy,Valid
04/01/2018 23:00,23,209.1,217,ug/m3,259,Very Unhealthy,Valid
05/01/2018 00:00,0,218,229,ug/m3,268,Very Unhealthy,Valid
05/01/2018 01:00,1,218.1,-999,ug/m3,268,Very Unhealthy,Missing
05/01/2018 02:00,2,218.1,-999,ug/m3,268,Very Unhealthy,Missing
05/01/2018 03:00,3,218.1,-999,ug/m3,268,Very Unhealthy,Missing
