Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
01/01/2021 02:00,2,218.4,221,ug/m3,268,Very Unhealthy,Valid
01/01/2021 03:00,3,215.2,212,ug/m3,265,Very Unhealthy,Valid
01/01/2021 04:00,4,197.1,179,ug/m3,247,Very Unhealthy,Valid
01/01/2021 05:00,5,188,179,ug/m3,238,Very Unhealthy,Valid
01/01/2021 06:00,6,179.2,155,ug/m3,229,Very Unhealthy,Valid
01/01/2021 07:00,7,165,142,ug/m3,215,Very Unhealthy,Valid
01/01/2021 08:00,8,163.9,162,ug/m3,214,Very Unhealthy,Valid
01/01/2021 09:00,9,173.2,189,ug/m3,223,Very Unhealthy,Valid
01/01/2021 10:00,10,199.9,239,ug/m3,250,Very Unhealthy,Valid
01/01/2021 11:00,11,193.8,185,ug/m3,244,Very Unhealthy,Valid
01/01/2021 12:00,12,204.4,220,ug/m3,254,Very Unhealthy,Valid
01/01/2021 13:00,13,136.4,65,ug/m3,193,Unhealthy,Valid
01/01/2021 14:00,14,108.1,80,ug/m3,178,Unhealthy,Valid
01/01/2021 15:00,15,88.5,69,ug/m3,168,Unhealthy,Valid
01/01/2021 16:00,16,81.2,74,ug/m3,164,Unhealthy,Valid
01/01/2021 17:00,17,76.6,72,ug/m3,162,Unhealthy,Valid
01/01/2021 18:00,18,78.3,80,ug/m3,163,Unhealthy,Valid
01/01/2021 19:00,19,103.1,128,ug/m3,176,Unhealthy,Valid
01/01/2021 20:00,20,132,161,ug/m3,190,Unhealthy,Valid
01/01/2021 21:00,21,148.5,165,ug/m3,199,Unhealthy,Valid
01/01/2021 22:00,22,154.2,160,ug/m3,205,Very Unhealthy,Valid
01/01/2021 23:00,23,163.6,173,ug/m3,214,Very Unhealthy,Valid
02/01/2021 00:00,0,177.8,192,ug/m3,228,Very Unhealthy,Valid
02/01/2021 01:00,1,174.9,172,ug/m3,225,Very Unhealthy,Valid
02/01/2021 02:00,2,168.4,162,ug/m3,219,Very Unhealthy,Valid
02/01/2021 03:00,3,168.7,169,ug/m3,219,Very Unhealthy,Valid
02/01/2021 04:00,4,168.3,168,ug/m3,219,Very Unhealthy,Valid
02/01/2021 05:00,5,164.2,160,ug/m3,215,Very Unhealthy,Valid
02/01/2021 06:00,6,163.8,160,ug/m3,214,Very Unhealthy,Valid
02/01/2021 07:00,7,166.5,168,ug/m3,217,Very Unhealthy,Valid
02/01/2021 08:00,8,168.9,179,ug/m3,219,Very Unhealthy,Valid
02/01/2021 09:00,9,171.8,184,ug/m3,222,Very Unhealthy,Valid
02/01/2021 10:00,10,173.4,179,ug/m3,224,Very Unhealthy,Valid
02/01/2021 11:00,11,169.9,155,ug/m3,220,Very Unhealthy,Valid
02/01/2021 12:00,12,140.8,105,ug/m3,195,Unhealthy,Valid
02/01/2021 13:00,13,120.2,99,ug/m3,184,Unhealthy,Valid
02/01/2021 14:00,14,107.9,96,ug/m3,178,Unhealthy,Valid
02/01/2021 15:00,15,91.8,77,ug/m3,170,Unhealthy,Valid
02/01/2021 16:00,16,73.9,56,ug/m3,161,Unhealthy,Valid
02/01/2021 17:00,17,67.9,62,ug/m3,157,Unhealthy,Valid
02/01/2021 18:00,18,81.4,95,ug/m3,164,Unhealthy,Valid
02/01/2021 19:00,19,115.7,150,ug/m3,182,Unhealthy,Valid
02/01/2021 20:00,20,137.8,160,ug/m3,193,Unhealthy,Valid
02/01/2021 21:00,21,149.9,162,ug/m3,200,Unhealthy,Valid
02/01/2021 22:00,22,145.4,141,ug/m3,197,Unhealthy,Valid
02/01/2021 23:00,23,146.2,147,ug/m3,198,Unhealthy,Valid
03/01/2021 00:00,0,151.1,156,ug/m3,202,Very Unhealthy,Valid
03/01/2021 01:00,1,152.5,154,ug/m3,203,Very Unhealthy,Valid
03/01/2021 02:00,2,155.2,158,ug/m3,206,Very Unhealthy,Valid
03/01/2021 03:00,3,156.6,158,ug/m3,207,Very Unhealthy,Valid
03/01/2021 04:00,4,163.3,170,ug/m3,214,Very Unhealthy,Valid
03/01/2021 05:00,5,167.2,173,ug/m3,218,Very Unhealthy,Valid
03/01/2021 06:00,6,161.4,163,ug/m3,212,Very Unhealthy,Valid
03/01/2021 07:00,7,161.3,160,ug/m3,212,Very Unhealthy,Valid
03/01/2021 08:00,8,162.7,168,ug/m3,213,Very Unhealthy,Valid
03/01/2021 09:00,9,160.7,153,ug/m3,211,Very Unhealthy,Valid
03/01/2021 10:00,10,170.1,196,ug/m3,220,Very Unhealthy,Valid
03/01/2021 11:00,11,174,189,ug/m3,224,Very Unhealthy,Valid
03/01/2021 12:00,12,137.6,92,ug/m3,193,Unhealthy,Valid
03/01/2021 13:00,13,119.8,102,ug/m3,184,Unhealthy,Valid
03/01/2021 14:00,14,103.8,88,ug/m3,176,Unhealthy,Valid
03/01/2021 15:00,15,95.9,88,ug/m3,172,Unhealthy,Valid
03/01/2021 16:00,16,97.4,99,ug/m3,173,Unhealthy,Valid
03/01/2021 17:00,17,85.7,74,ug/m3,167,Unhealthy,Valid
03/01/2021 18:00,18,88.8,92,ug/m3,168,Unhealthy,Valid
03/01/2021 19:00,19,115.4,142,ug/m3,182,Unhealthy,Valid
03/01/2021 20:00,20,153.7,192,ug/m3,204,Very Unhealthy,Valid
03/01/2021 21:00,21,165.8,178,ug/m3,216,Very Unhealthy,Valid
03/01/2021 22:00,22,180.9,196,ug/m3,231,Very Unhealthy,Valid
03/01/2021 23:00,23,191.4,202,ug/m3,242,Very Unhealthy,Valid
04/01/2021 00:00,0,199.2,207,ug/m3,249,Very Unhealthy,Valid
04/01/2021 01:00,1,208.6,218,ug/m3,259,Very Unhealthy,Valid
04/01/2021 02:00,2,212.3,216,ug/m3,262,Very Unhealthy,Valid
04/01/2021 03:00,3,219.6,227,ug/m3,269,Very Unhealthy,Valid
04/01/2021 04:00,4,246.3,273,ug/m3,296,Very Unhealthy,Valid
04/01/2021 05:00,5,243.2,240,ug/m3,293,Very Unhealthy,Valid
04/01/2021 06:00,6,250.5,259,ug/m3,301,Hazardous,Valid
04/01/2021 07:00,7,231.7,207,ug/m3,281,Very Unhealthy,Valid
04/01/2021 08:00,8,248,277,ug/m3,298,Very Unhealthy,Valid
04/01/2021 09:00,9,243.7,239,ug/m3,293,Very Unhealthy,Valid
04/01/2021 10:00,10,214.2,167,ug/m3,264,Very Unhealthy,Valid
04/01/2021 11:00,11,153.2,100,ug/m3,204,Very Unhealthy,Valid
04/01/2021 12:00,12,115.1,77,ug/m3,182,Unhealthy,Valid
04/01/2021 13:00,13,99.5,84,ug/m3,174,Unhealthy,Valid
04/01/2021 14:00,14,93.2,87,ug/m3,170,Unhealthy,Valid
04/01/2021 15:00,15,95.1,97,ug/m3,171,Unhealthy,Valid
04/01/2021 16:00,16,85,75,ug/m3,166,Unhealthy,Valid
04/01/2021 17:00,17,83.9,83,ug/m3,166,Unhealthy,Valid
04/01/2021 18:00,18,88.4,93,ug/m3,168,Unhealthy,Valid
04/01/2021 19:00,19,122.7,157,ug/m3,186,Unhealthy,Valid
04/01/2021 20:00,20,172.8,223,ug/m3,223,Very Unhealthy,Valid
04/01/2021 21:00,21,201.4,230,ug/m3,251,Very Unhealthy,Valid
